window_size,trial,seconds
1,1,92.5415572
1,2,97.7342623
1,3,96.2930591
1,4,95.335492
1,5,99.4131636
2,1,50.0188817
2,2,48.1530814
2,3,51.1539608
2,4,46.0121682
2,5,50.9804971
4,1,38.9783534
4,2,39.4231319
4,3,33.147382
4,4,35.5340623
4,5,40.0951617
8,1,26.3227419
8,2,24.7802307
8,3,29.4725699
8,4,24.878072
8,5,31.8328773
16,1,37.1881042
16,2,29.2911121
16,3,30.4395529
16,4,30.8338744
16,5,33.0001634
32,1,31.8181565
32,2,28.8374914
32,3,33.4730089
32,4,29.5764524
32,5,27.7094481
64,1,24.9784284
64,2,30.9610144
64,3,36.1084578
64,4,28.5744351
64,5,26.633305
128,1,28.8533381
128,2,32.7254136
128,3,25.5704283
128,4,34.3773416
128,5,29.7199003
256,1,31.5630503
256,2,30.0595133
256,3,29.423204
256,4,31.1996755
256,5,26.9719024
512,1,34.1038239
512,2,38.6553429
512,3,34.9447596
512,4,32.2300796
512,5,37.0149419
1024,1,30.4925993
1024,2,35.1282371
1024,3,32.8414985
1024,4,33.7730949
1024,5,38.5230096
