window_size,trial,seconds
1,1,181.10305
1,2,179.957291
1,3,188.2919369
1,4,187.0073398
1,5,196.4223585
2,1,118.9225301
2,2,131.1191913
2,3,110.9029791
2,4,95.4600724
2,5,124.1034746
4,1,111.164295
4,2,120.4089376
4,3,100.1315748
4,4,119.1215248
4,5,126.3414334
8,1,116.3238737
8,2,109.1932685
8,3,111.1009268
8,4,114.3684163
8,5,95.9299926
16,1,107.8476575
16,2,109.736471
16,3,124.1766458
16,4,127.2994218
16,5,118.1429596
32,1,123.8334663
32,2,99.2859937
32,3,124.8241936
32,4,124.8241936
32,5,121.817617
64,1,116.5352888
64,2,116.5556474
64,3,108.2535369
64,4,106.075156
64,5,117.4492283
128,1,103.787694
128,2,122.2813093
128,3,131.8614226
128,4,122.2813093
128,5,124.214415
256,1,123.7672672
256,2,109.0705117
256,3,117.4437685
256,4,137.2385258
256,5,113.3471144
512,1,130.1005104
512,2,113.6928459
512,3,107.345336
512,4,122.9139146
512,5,123.9915423
1024,1,119.7895482
1024,2,109.7025328
1024,3,140.5824101
1024,4,114.3577303
1024,5,113.816364
