window_size,trial,seconds
1,1,97.8355617999996
1,2,101.71428319999995
1,3,105.80080069999985
1,4,105.78769420000026
1,5,107.70145219999995
2,1,102.21258190000026
2,2,109.32005610000033
2,3,116.38272020000022
2,4,123.45191260000047
2,5,136.65516729999945
4,1,115.32090330000028
4,2,102.21093389999987
4,3,108.32324479999988
4,4,118.42344130000038
4,5,104.25151769999957
8,1,115.36128420000023
8,2,124.53251379999983
8,3,140.71390040000006
8,4,105.23169700000017
8,5,119.42069840000022
16,1,115.30250400000023
16,2,113.35654330000034
16,3,112.38694260000011
16,4,115.35554489999959
16,5,110.37552520000008
32,1,103.27488520000043
32,2,105.23540430000048
32,3,111.3220422000004
32,4,114.41739750000033
32,5,104.24822170000061
64,1,123.53654619999998
64,2,97.13988060000065
64,3,105.3348317
64,4,117.52346669999952
64,5,113.51330869999947
128,1,133.83165929999996
128,2,110.40952979999929
128,3,90.06367929999942
128,4,96.09248150000167
128,5,112.25487000000066
256,1,105.16816759999892
256,2,122.4694526000003
256,3,130.93174029999864
256,4,105.19656749999922
256,5,85.99667769999905
512,1,108.57464859999891
512,2,112.79868329999954
512,3,110.65714500000104
512,4,119.55245119999927
512,5,118.63136379999924
1024,1,100.12554880000062
1024,2,111.44438399999854
1024,3,119.25635830000101
1024,4,92.0500291999997
1024,5,114.4230295999987
