window_size,trial,seconds
1,1,180.7075006
1,2,186.7782945
1,3,196.3505323
1,4,174.9370642
1,5,240.0403506
2,1,162.1418467
2,2,162.1418467
2,3,161.2920354
2,4,136.8922027
2,5,154.7434602
4,1,117.0188185
4,2,103.1249133
4,3,109.1340233
4,4,103.3306106
4,5,103.3306106
8,1,116.2713394
8,2,114.3223207
8,3,105.2149573
8,4,105.152715
8,5,105.2223719
16,1,100.6620051
16,2,124.9689528
16,3,128.0972219
16,4,99.386172
16,5,107.7148738
32,1,116.3093531
32,2,121.6235322
32,3,108.3965786
32,4,109.3952922
32,5,84.8800672
64,1,123.6670294
64,2,123.1012104
64,3,121.9438543
64,4,116.5569192
64,5,107.3437087
128,1,122.424905
128,2,118.1796139
128,3,119.3618826
128,4,113.0223717
128,5,121.3660379
256,1,122.4132084
256,2,122.4132084
256,3,115.2546882
256,4,125.5492742
256,5,118.4907258
512,1,119.8816411
512,2,109.2591208
512,3,139.0197693
512,4,99.9410042
512,5,122.7563456
1024,1,117.0917842
1024,2,114.8140484
1024,3,109.1109305
1024,4,108.7467158
1024,5,121.0004993
