loss,trial,seconds
0.01,1,6.654193499998655
0.01,2,5.095310700009577
0.01,3,6.08624360000249
0.01,4,7.147474500001408
0.01,5,6.947355700016487
0.02,1,14.806797800003551
0.02,2,15.45000389998313
0.02,3,13.460231500008376
0.02,4,10.786843700014288
0.02,5,12.8082260999945
0.03,1,19.887202800018713
0.03,2,18.409717700007604
0.03,3,15.650714499992318
0.03,4,19.036029000009876
0.03,5,18.342215599986957
0.04,1,20.733272500016028
0.04,2,25.627261100016767
0.04,3,30.24701289998484
0.04,4,21.350133999978425
0.04,5,27.663155099988217
0.05,1,27.23346569997375
0.05,2,26.4939250999887
0.05,3,30.5368804000027
0.05,4,26.08624870001222
0.05,5,32.53635710000526
0.06,1,36.06564309998066
0.06,2,35.09800090000499
0.06,3,36.030494200007524
0.06,4,39.94913870000164
0.06,5,40.31344560001162
0.07,1,51.26316639999277
0.07,2,42.840425800008234
0.07,3,43.789399400004186
0.07,4,42.48216240000329
0.07,5,47.39815790002467
0.08,1,39.70868170002359
0.08,2,45.25323850000859
0.08,3,54.62250539998058
0.08,4,47.42026280000573
0.08,5,44.33626869998989
0.09,1,58.853101699991385
0.09,2,50.01306040000054
0.09,3,57.51062529999763
0.09,4,57.26266760000726
0.09,5,54.83218730002409
0.1,1,69.7028680999938
0.1,2,60.93779560000985
0.1,3,67.57162060000701
0.1,4,0.05842879999545403
0.1,5,64.2934262000199
