loss,trial,seconds
0.01,1,31.140943200007314
0.01,2,33.937736899999436
0.01,3,33.22879159997683
0.01,4,29.679947299999185
0.01,5,29.712194899999304
0.02,1,29.06969969999045
0.02,2,28.70331849998911
0.02,3,29.902009099983843
0.02,4,35.603208300017286
0.02,5,38.28659470001003
0.03,1,30.722039800020866
0.03,2,30.773087599984137
0.03,3,35.36650100001134
0.03,4,29.758021099987673
0.03,5,27.484864400001243
0.04,1,30.783016700006556
0.04,2,33.82225440000184
0.04,3,34.18025089998264
0.04,4,27.944514500006335
0.04,5,28.57245070001227
0.05,1,32.90578510001069
0.05,2,31.44168200000422
0.05,3,28.646649300004356
0.05,4,34.47671570000239
0.05,5,31.403161700000055
0.06,1,30.902433100010967
0.06,2,33.06401529998402
0.06,3,37.14208300001337
0.06,4,27.78835039999103
0.06,5,30.298897200002102
0.07,1,33.87260979998973
0.07,2,28.001129999989644
0.07,3,30.455096600024262
0.07,4,27.20712679999997
0.07,5,33.10020450002048
0.08,1,37.94472970001516
0.08,2,27.16314059999422
0.08,3,31.924540000007255
0.08,4,35.095969699992565
0.08,5,26.802385599992704
0.09,1,32.70177149999654
0.09,2,35.00754219997907
0.09,3,27.761749500001315
0.09,4,33.28820650000125
0.09,5,35.24181929999031
0.1,1,33.31803120000404
0.1,2,29.859768299997086
0.1,3,34.96449000001303
0.1,4,33.53327869999339
0.1,5,27.43902160000289
