mss,trial,seconds
100,1,2.6944594999949913
100,2,1.7842129000055138
100,3,1.4366108999820426
100,4,2.102342199999839
100,5,1.505593100009719
200,1,2.3434094000258483
200,2,1.7474309999961406
200,3,2.4539886999991722
200,4,1.1657187000091653
200,5,1.517892000003485
300,1,2.110624100023415
300,2,1.9596452999976464
300,3,1.5862111000169534
300,4,2.6259955000132322
300,5,1.234693900012644
400,1,1.8411016000027303
400,2,2.069020199996885
400,3,1.8869738999928813
400,4,1.7816920999903232
400,5,1.8299671999993734
500,1,1.4813276000204496
500,2,2.398237000015797
500,3,1.5550380000204314
500,4,1.1776721000205725
500,5,2.606769100006204
600,1,0.506314400001429
600,2,0.5098362999851815
600,3,0.509716100001242
600,4,0.5093369999958668
600,5,0.50834489997942
700,1,0.5131572000100277
700,2,0.5117979999922682
700,3,0.5108485000091605
700,4,0.509298300021328
700,5,0.5082829000020865
800,1,0.5593173000088427
800,2,0.5579868000058923
800,3,0.5571783000195865
800,4,0.3100142999901436
800,5,0.5611958999943454
900,1,0.5074749999912456
900,2,0.5097751000139397
900,3,0.5070425000158139
900,4,0.5093001000059303
900,5,0.5048760999925435
1000,1,0.5092676999920513
1000,2,0.5084632999787573
1000,3,0.5147895000118297
1000,4,0.5037983000220265
1000,5,0.508963699976448
